YM,state,user_cnt,rnk
2018-05,PA,40,15
2018-05,MA,32,16
2018-05,PI,31,17
2018-05,PB,29,18
2018-05,RN,22,19
2018-05,AL,19,20
2018-05,RO,17,21
2018-05,TO,16,22
2018-05,AM,9,23
2018-05,SE,8,24
2018-05,AP,6,25
2018-05,AC,2,26
2018-05,RR,1,27
2018-06,SP,2759,1
2018-06,RJ,715,2
2018-06,MG,714,3
2018-06,PR,306,4
2018-06,RS,304,5
2018-06,SC,205,6
2018-06,BA,201,7
2018-06,DF,150,8
2018-06,ES,124,9
2018-06,GO,105,10
2018-06,PE,94,11
2018-06,CE,74,12
2018-06,MT,58,13
2018-06,PA,54,14
2018-06,MS,49,15
2018-06,MA,42,16
2018-06,RN,36,17
2018-06,PI,29,18
2018-06,PB,28,19
2018-06,SE,28,19
2018-06,AL,24,20
2018-06,TO,18,21
2018-06,RO,11,22
2018-06,AM,7,23
2018-06,RR,5,24
2018-06,AC,3,25
2018-06,AP,2,26
2018-07,SP,2744,1
2018-07,RJ,713,2
2018-07,MG,649,3
2018-07,PR,316,4
2018-07,RS,311,5
2018-07,BA,249,6
2018-07,SC,198,7
2018-07,DF,166,8
2018-07,PE,137,9
2018-07,ES,123,10
2018-07,GO,114,11
2018-07,CE,86,12
2018-07,PA,57,13
2018-07,PB,52,14
2018-07,MS,49,15
2018-07,MT,47,16
2018-07,MA,40,17
2018-07,PI,32,18
2018-07,RN,29,19
2018-07,SE,27,20
2018-07,AL,23,21
2018-07,TO,22,22
2018-07,AM,18,23
2018-07,RO,16,24
2018-07,AP,6,25
2018-07,RR,5,26
2018-07,AC,4,27
2018-08,SP,3198,1
2018-08,RJ,737,2
2018-08,MG,703,3
2018-08,PR,329,4
2018-08,RS,295,5
2018-08,SC,203,6
2018-08,BA,164,7
2018-08,DF,144,8
2018-08,GO,117,9
2018-08,ES,104,10
2018-08,PE,85,11
2018-08,CE,55,12
2018-08,PA,43,13
2018-08,MT,40,14
2018-08,MS,35,15
2018-08,MA,30,16
2018-08,PB,29,17
2018-08,SE,23,18
2018-08,PI,21,19
2018-08,RN,20,20
2018-08,AL,16,21
2018-08,TO,13,22
2018-08,RO,8,23
2018-08,AM,4,24
2018-08,AC,3,25
2018-08,AP,2,26
2018-09,SP,1,1
