YM,state,rev,rnk
2017-09,MG,83956.21,3
2017-09,RS,43458.979999999945,4
2017-09,SC,29192.45999999998,5
2017-09,BA,28325.800000000007,6
2017-09,PR,26553.859999999982,7
2017-09,CE,19706.43,8
2017-09,PE,17658.390000000003,9
2017-09,GO,16358.339999999998,10
2017-09,DF,15514.66,11
2017-09,ES,13314.180000000004,12
2017-09,MA,11340.689999999997,13
2017-09,MT,8265.92,14
2017-09,PA,7731.740000000002,15
2017-09,PB,6860.380000000001,16
2017-09,MS,5569.4800000000005,17
2017-09,AL,5191.649999999998,18
2017-09,RO,4938.28,19
2017-09,TO,4399.72,20
2017-09,RN,4180.4400000000005,21
2017-09,PI,3911.9399999999996,22
2017-09,SE,3541.49,23
2017-09,AC,2029.23,24
2017-09,AM,1518.4399999999998,25
2017-09,AP,499.22,26
2017-09,RR,65.37,27
2017-10,SP,256868.39999999906,1
2017-10,RJ,112237.59999999983,2
2017-10,MG,94017.11000000006,3
2017-10,RS,43720.86999999993,4
2017-10,PR,37924.609999999964,5
2017-10,BA,29273.649999999998,6
2017-10,SC,24773.77000000001,7
2017-10,PE,20473.339999999993,8
2017-10,GO,19277.68,9
2017-10,DF,15305.140000000003,10
2017-10,CE,14418.400000000001,11
2017-10,MT,12892.880000000003,12
2017-10,ES,12667.550000000001,13
2017-10,MA,12526.980000000005,14
2017-10,PB,11597.449999999999,15
2017-10,PA,8768.439999999997,16
2017-10,MS,7301.7699999999995,17
2017-10,AL,6341.59,18
2017-10,RN,5352.019999999999,19
2017-10,SE,5123.29,20
2017-10,PI,4955.04,21
2017-10,TO,3238.069999999999,22
2017-10,RO,2385.01,23
2017-10,AP,1696.74,24
2017-10,AC,958.1700000000001,25
2017-10,RR,525.15,26
2017-10,AM,164.56,27
2017-11,SP,406881.2300000007,1
2017-11,RJ,175207.44000000015,2
2017-11,MG,155114.50000000003,3
2017-11,RS,68727.49999999993,4
2017-11,PR,55718.87,5
2017-11,SC,47000.02999999995,6
2017-11,BA,35846.729999999996,7
2017-11,DF,30731.849999999977,8
2017-11,ES,28879.929999999982,9
2017-11,GO,25076.21999999998,10
2017-11,PE,24380.149999999998,11
2017-11,CE,22531.790000000005,12
2017-11,PA,14431.580000000002,13
2017-11,MT,13430.330000000002,14
2017-11,MA,12454.039999999997,15
2017-11,RN,10050.309999999996,16
2017-11,MS,7451.299999999998,17
2017-11,AL,7441.469999999999,18
2017-11,RO,7057.469999999999,19
2017-11,SE,6613.39,20
2017-11,PB,5941.99,21
2017-11,PI,3805.389999999999,22
2017-11,TO,3078.919999999999,23
2017-11,AM,3001.01,24
2017-11,AC,945.16,25
2017-11,AP,689.1700000000001,26
2017-11,RR,151.46,27
2017-12,SP,319063.8099999992,1
2017-12,RJ,135675.89000000013,2
2017-12,MG,107716.18999999994,3
2017-12,RS,49127.81,4
2017-12,PR,35413.179999999986,5
2017-12,BA,33590.759999999995,6
2017-12,SC,28370.059999999998,7
2017-12,DF,19932.250000000007,8
2017-12,PE,19733.039999999997,9
2017-12,GO,18604.179999999997,10
2017-12,ES,14720.59,11
2017-12,CE,13588.750000000002,12
2017-12,PA,12382.399999999998,13
2017-12,MT,11216.21,14
2017-12,MA,7542.950000000003,15
2017-12,PB,7016.250000000002,16
2017-12,MS,6214.499999999999,17
2017-12,RN,4098.5,18
2017-12,SE,4051.92,19
2017-12,PI,3508.4800000000005,20
2017-12,AL,2680.76,21
2017-12,RO,2420.0600000000004,22
2017-12,TO,1892.1599999999999,23
2017-12,AC,1409.58,24
2017-12,AM,1173.6200000000001,25
2017-12,AP,770.56,26
2018-01,SP,425093.07000000007,1
2018-01,RJ,141673.66999999984,2
2018-01,MG,133805.9399999998,3
2018-01,RS,57283.89999999994,4
2018-01,PR,52635.53999999992,5
2018-01,SC,46195.009999999995,6
2018-01,BA,43922.32000000002,7
2018-01,ES,23528.219999999994,8
2018-01,DF,20756.9,9
2018-01,GO,20024.949999999997,10
2018-01,PE,18536.62,11
2018-01,PA,16737.800000000003,12
2018-01,CE,16606.140000000003,13
2018-01,MT,14673.119999999999,14
2018-01,MS,12029.880000000001,15
2018-01,MA,11118.78,16
2018-01,PI,8598.060000000001,17
2018-01,PB,8022.52,18
2018-01,RN,7209.520000000003,19
2018-01,AL,6485.900000000001,20
2018-01,SE,3732.32,21
2018-01,AM,3433.4600000000005,22
2018-01,TO,3336.25,23
2018-01,RO,3090.1,24
2018-01,AP,2788.74,25
2018-01,AC,1157.8899999999999,26
2018-01,RR,162.79,27
2018-02,SP,353380.7199999999,1
2018-02,RJ,136225.97,2
2018-02,MG,124954.64999999989,3
2018-02,RS,54875.22999999996,4
2018-02,PR,52544.270000000004,5
2018-02,BA,38063.799999999996,6
2018-02,SC,37801.20999999998,7
2018-02,DF,24866.85,8
2018-02,GO,21570.81000000001,9
2018-02,PE,20883.39,10
2018-02,ES,20332.53000000001,11
2018-02,CE,14143.140000000009,12
2018-02,MA,12463.689999999997,13
2018-02,PA,10994.710000000003,14
2018-02,MS,10129.11,15
2018-02,MT,9847.280000000002,16
2018-02,PB,6342.920000000001,17
2018-02,PI,5892.8899999999985,18
2018-02,AL,5680.85,19
2018-02,SE,5103.1,20
2018-02,RN,4144.53,21
2018-02,TO,3358.47,22
2018-02,AM,2486.6,23
2018-02,RO,2109.9700000000003,24
2018-02,AP,1086.31,25
2018-02,RR,384.01,26
2018-02,AC,299.22,27
2018-03,SP,436645.1300000005,1
2018-03,MG,141693.90000000005,2
2018-03,RJ,141053.51000000013,3
2018-03,RS,68068.17,4
2018-03,PR,60039.469999999994,5
2018-03,BA,45398.290000000015,6
2018-03,SC,43141.090000000004,7
2018-03,PE,27020.860000000008,8
2018-03,DF,24909.000000000004,9
2018-03,GO,23637.069999999992,10
2018-03,CE,22544.75000000001,11
2018-03,ES,20604.41000000001,12
2018-03,PA,16405.360000000008,13
2018-03,MA,11033.740000000002,14
2018-03,MT,10492.419999999998,15
2018-03,RN,9095.810000000001,16
2018-03,MS,9033.139999999998,17
2018-03,AL,8184.59,18
2018-03,PI,8158.83,19
2018-03,PB,8067.229999999999,20
2018-03,TO,5579.629999999999,21
2018-03,SE,3504.4000000000005,22
2018-03,RO,3305.8499999999995,23
2018-03,RR,2643.6400000000003,24
2018-03,AM,1607.2399999999998,25
2018-03,AP,704.5400000000001,26
2018-03,AC,164.67000000000002,27
2018-04,SP,449506.14000000193,1
2018-04,RJ,144663.73000000016,2
2018-04,MG,130597.56000000007,3
2018-04,PR,76791.51000000002,4
2018-04,RS,61424.89999999999,5
2018-04,SC,51809.43000000001,6
2018-04,BA,38804.83,7
2018-04,GO,22558.23,8
2018-04,PE,22240.47000000001,9
2018-04,DF,21551.739999999987,10
2018-04,CE,20973.950000000004,11
2018-04,ES,20181.629999999997,12
2018-04,PA,14489.050000000003,13
2018-04,MT,13752.37,14
2018-04,PI,12911.769999999999,15
2018-04,MA,10023.53,16
2018-04,RN,7518.84,17
2018-04,AL,7201.209999999998,18
2018-04,MS,7053.140000000001,19
2018-04,PB,5783.440000000001,20
2018-04,TO,5370.51,21
2018-04,RO,4085.7200000000003,22
2018-04,SE,3713.7400000000002,23
2018-04,AP,1042.8,24
2018-04,AM,893.49,25
2018-04,RR,772.01,26
2018-04,AC,588.17,27
2018-05,SP,488645.7400000017,1
2018-05,RJ,146373.95000000004,2
2018-05,MG,120566.49000000008,3
2018-05,RS,60118.420000000006,4
2018-05,PR,54483.619999999966,5
2018-05,BA,42578.740000000056,6
2018-05,SC,41778.759999999966,7
2018-05,DF,29198.370000000003,8
2018-05,GO,27869.24,9
2018-05,ES,22420.839999999993,10
2018-05,PE,16788.28000000001,11
2018-05,MT,14789.899999999998,12
2018-05,CE,14529.33,13
2018-05,MS,11059.729999999998,14
2018-05,PA,9160.55,15
2018-05,PI,8647.630000000003,16
2018-05,MA,8589.54,17
2018-05,PB,5909.590000000001,18
2018-05,RN,4998.86,19
2018-05,AL,4393.1,20
2018-05,TO,3314.33,21
2018-05,RO,3157.5099999999998,22
2018-05,AM,2192.48,23
2018-05,AC,1501.42,24
2018-05,SE,1320.5900000000001,25
2018-05,AP,1189.93,26
2018-05,RR,171.69,27
2018-06,SP,394378.96000000066,1
2018-06,MG,125358.97000000006,2
2018-06,RJ,121975.88000000008,3
2018-06,RS,53147.639999999985,4
2018-06,PR,50248.06000000002,5
2018-06,BA,42439.21999999999,6
2018-06,SC,39055.27000000001,7
2018-06,DF,23708.659999999993,8
2018-06,ES,20717.77999999999,9
2018-06,CE,20097.45,10
2018-06,PE,18534.130000000005,11
2018-06,GO,17381.310000000005,12
2018-06,PB,14221.130000000003,13
2018-06,MT,13008.549999999996,14
2018-06,PA,11950.550000000001,15
2018-06,MS,10765.750000000005,16
2018-06,RN,8490.830000000004,17
2018-06,MA,7964.570000000001,18
2018-06,PI,5999.96,19
2018-06,SE,5091.959999999999,20
2018-06,TO,4987.030000000001,21
2018-06,AL,4852.93,22
2018-06,RO,2418.97,23
2018-06,RR,1642.4099999999999,24
2018-06,AM,1211.1399999999999,25
2018-06,AC,597.26,26
2018-06,AP,247.92000000000002,27
2018-07,SP,375436.4499999997,1
2018-07,RJ,119584.14000000006,2
2018-07,MG,110217.38000000008,3
2018-07,PR,54129.90000000002,4
2018-07,BA,50741.449999999975,5
2018-07,RS,48622.56999999999,6
2018-07,SC,37199.87,7
2018-07,ES,33688.27,8
2018-07,PE,30325.34999999998,9
2018-07,DF,27296.87000000001,10
2018-07,GO,24565.379999999994,11
2018-07,PB,20455.109999999993,12
2018-07,CE,16845.129999999997,13
2018-07,PA,15851.640000000001,14
2018-07,MT,12645.679999999998,15
2018-07,RN,9679.730000000001,16
2018-07,PI,8471.109999999999,17
2018-07,MA,8361.389999999998,18
2018-07,MS,8295.339999999998,19
2018-07,SE,5655.15,20
