city,longitude,latitude,rating,rating_rnk
Agra,54.6228302765,19.016683118499998,3.965,78
Nagpur,75.11540361600001,20.080411780000002,3.965,79
Bhopal,54.191667947999996,16.2603727335,3.95,80
Surat,72.787681128,21.168826666,3.9349999999999996,81
Weirton,-80.529488,40.396043,3.9,82
Colombo,75.86794958150001,6.5591492343499995,3.87,83
Bogor,106.80907565,-6.591747397,3.85,84
Kanpur,72.297590821,23.829682314499998,3.815,85
"Santa Rosa",121.05681369999999,14.237380485,3.8,86
"Hepburn Springs",144.12438170000001,-37.293910350000004,3.8,87
"Lakes Entrance",147.9942247,-37.8783865,3.8,88
"Middleton Beach",117.917166,-35.025861,3.8,89
"Sioux City",-96.37893590000002,42.498723139999996,3.7650000000000006,90
Mangalore,41.1676893885,7.081714164499999,3.745000000000001,91
Puducherry,79.83290421550001,11.93696777,3.7299999999999995,92
Davenport,-90.543069471,41.561015592,3.715,93
Valdosta,-83.30159409500001,30.848183210000002,3.715,94
Chatham-Kent,-82.188438,42.397683,3.7,95
Fernley,-119.252694,39.607515,3.7,96
Forrest,143.714315,-38.517292,3.7,97
Inverloch,145.7287133,-38.6347458,3.7,98
"Phillip Island",145.237813,-38.448307,3.7,99
Mysore,72.8003518115,11.703185705000001,3.6949999999999994,100
Amritsar,60.613097549999985,25.61115285666667,3.6857142857142846,101
Birmingham,-1.9016762060999994,52.4752764005,3.6800000000000006,102
Waterloo,-92.408520385,42.511039305,3.6500000000000012,103
"Dicky Beach",153.137401,-26.783576,3.6,104
Lakeview,-120.3458,42.1885,3.6,105
Lorn,151.558475,-32.728097,3.6,106
Monroe,-89.653487,42.606306,3.6,107
"Ojo Caliente",-106.057666,36.313638,3.6,108
"Victor Harbor",138.624316,-35.5536609,3.6,109
Singapore,103.84873413999999,1.2939161034,3.5750000000000006,110
Albany,-84.18659204,31.60296343,3.5549999999999997,111
Dubuque,-90.678075315,42.50102428500001,3.535,112
"S粒o Paulo",-46.662011055499995,-23.570185066999997,3.529999999999999,113
Nashik,51.6304818025,14.002308699,3.5200000000000005,114
Varanasi,53.94492922349999,16.450888249000002,3.5099999999999993,115
Armidale,151.6688792,-30.5147169,3.5,116
Flaxton,152.8771473,-26.6521332,3.5,117
Macedon,144.564174,-37.423189,3.5,118
Bras?lia,-47.915908273499994,-15.807575283500004,3.495,119
Pocatello,-112.39785958,42.86735908499999,3.4850000000000003,120
Patna,72.35764884650001,21.772366481,3.4549999999999996,121
Ranchi,68.264918265,18.692065876500003,3.4549999999999996,122
Miller,-98.9891,44.5158,3.4,123
Penola,140.837409,-37.379153,3.4,124
Allahabad,61.3787931605,19.0893709845,3.3949999999999996,125
