"restaurant name",city,"average cost for two",cost_rnk
"9 Mars Lounge",Ghaziabad,2500,158
"Lattitude - Skycity Hotel",Gurgaon,2500,159
"Courtyard Grill - Courtyard by Marriott",Gurgaon,2500,160
"California Pizza Kitchen",Gurgaon,2500,161
"Hard Rock Cafe",Gurgaon,2500,162
"Uptown Fresh Beer Cafe",Gurgaon,2500,163
"Orchid - Fortune Select Global",Gurgaon,2500,164
L'Angoor,Gurgaon,2500,165
"TGI Friday's",Gurgaon,2500,166
"Gung The Palace",Gurgaon,2500,167
"The Brewhouse",Gurgaon,2500,168
"Palmyra - The Bristol Hotel",Gurgaon,2500,169
"Zaffran - The Claremont",Gurgaon,2500,170
"Melange - The Pllazio Hotel",Gurgaon,2500,171
"Town Hall",Gurgaon,2500,172
"Whisky Samba",Gurgaon,2500,173
"Chao Chinese Bistro - Holiday Inn Jaipur City Centre",Jaipur,2500,174
"Restaurant De Seoul","New Delhi",2500,175
"Connexions Bar - Crowne Plaza","New Delhi",2500,176
"TGI Friday's","New Delhi",2500,177
"Lord of the Drinks Forum","New Delhi",2500,178
"Diva - The Italian Restaurant","New Delhi",2500,179
"Gung The Palace","New Delhi",2500,180
"Yellow Mirchi - Hotel City Park","New Delhi",2500,181
"Onyx Bar - Hotel The Royal Plaza","New Delhi",2500,182
"SKY Lounge Bar & Grill - Hotel The Royal Plaza","New Delhi",2500,183
"Lord William Tea Lounge - Hotel The Royal Plaza","New Delhi",2500,184
"Polo Lounge - Hyatt Regency","New Delhi",2500,185
"Mosaic - SK Premium Park","New Delhi",2500,186
"Ano Tai - Jaypee Vasant Continental","New Delhi",2500,187
"Paatra - Jaypee Vasant Continental","New Delhi",2500,188
"Cafe Illuminatii","New Delhi",2500,189
"Town Hall","New Delhi",2500,190
"The Krib","New Delhi",2500,191
"Admission Lounge","New Delhi",2500,192
"Stallion - Pride Plaza Hotel","New Delhi",2500,193
"Savannah Bar - Radisson Blu Plaza Delhi","New Delhi",2500,194
"Oro The Bar - Radisson Blu","New Delhi",2500,195
Nueva,"New Delhi",2500,196
"Club London","New Delhi",2500,197
"Yellow Brick Road - Taj Vivanta","New Delhi",2500,198
"Zerruco - The Ashok","New Delhi",2500,199
"The Atrium - The Imperial","New Delhi",2500,200
"Sampan - The Suryaa New Delhi","New Delhi",2500,201
"Emperor's Lounge - The Taj Mahal Hotel","New Delhi",2500,202
"Bonitos Blu - The Uppal","New Delhi",2500,203
"Arriba - Mexican Grill & Tequileria","New Delhi",2500,204
Chicane,Noida,2500,205
"TGI Friday's",Noida,2500,206
"CIOCONAT Lounge",Colombo,2500,207
"The Commons",Colombo,2500,208
Upali's,Colombo,2500,209
Liquid,"New Delhi",2400,210
"Club Ice Cube",Noida,2400,211
"Arabian Knights",Colombo,2400,212
"The Fatty Bao - Asian Gastro Bar",Bangalore,2400,213
"Shanghai Bar & Lounge - The Bristol Hotel",Gurgaon,2400,214
"Pebble Street","New Delhi",2400,215
"Parikrama - The Revolving Restaurant","New Delhi",2400,216
"Moonshine Cafe & Bar","New Delhi",2400,217
"TFK - The Flaming Kick",Noida,2350,218
"The Hungry Monkey","New Delhi",2300,219
"Sutra Gastropub",Gurgaon,2300,220
"Monarch Restaurant - Holiday Inn Jaipur City Centre",Jaipur,2300,221
"Virgin Courtyard",Chandigarh,2200,222
"Big Shot Bar - Country Inn & Suites",Gurgaon,2200,223
"Farzi Cafe",Gurgaon,2200,224
"56 Ristorante Italiano",Gurgaon,2200,225
"SBar Club & Lounge",Gurgaon,2200,226
"New Town Cafe - Park Plaza",Gurgaon,2200,227
"Fashion Tv Cafe","New Delhi",2200,228
"Kylin Skybar","New Delhi",2200,229
"Lord of the Drinks","New Delhi",2200,230
"Farzi Cafe","New Delhi",2200,231
"United Coffee House","New Delhi",2200,232
"Cafe Diva","New Delhi",2200,233
"Uber Lounge","New Delhi",2200,234
"Lord of the Drinks Meadow","New Delhi",2200,235
"The Nest","New Delhi",2200,236
"Tokyo Mon Amour","New Delhi",2200,237
"The Great Kabab Factory","New Delhi",2200,238
"The 87 - Premier Inn","New Delhi",2200,239
"Lord of the Drinks Chamber","New Delhi",2200,240
"Voda Bar","New Delhi",2200,241
"Basil & Thyme","New Delhi",2200,242
"Number 8","New Delhi",2200,243
"Samavar - The Ashok","New Delhi",2200,244
Tribe,"New Delhi",2200,245
"The Butler & The Chef - Jaypee Greens",Noida,2200,246
"Flluid - Mosaic Hotels",Noida,2200,247
"The Great Kabab Factory",Noida,2200,248
"Lighthouse 13","New Delhi",2100,249
"18 Degrees Resto Lounge",Pune,2100,250
"Coffee to Cocktail Bar - Hyatt Place",Gurgaon,2100,251
"BRONX Bar Exchange",Gurgaon,2100,252
"The Town House Cafe","New Delhi",2100,253
"Gatsby Kitchen & Bar by Club BW","New Delhi",2100,254
"Lutyens Cocktail House","New Delhi",2100,255
"Public Affair","New Delhi",2100,256
"Smokey's BBQ and Grill","New Delhi",2100,257
"Ping's Caf刺 Orient","New Delhi",2100,258
"Buffet 101","Pasay City",2000,259
Vikings,"Pasay City",2000,260
"MoMo Cafe",Agra,2000,261
Toit,Bangalore,2000,262
"Barbeque Nation",Chennai,2000,263
"Club Cubana",Goa,2000,264
Antares,Goa,2000,265
"Punjab Grill",Gurgaon,2000,266
"Olive Bistro",Gurgaon,2000,267
Raasta,Gurgaon,2000,268
"The Wine Company",Gurgaon,2000,269
"Cafe Delhi Heights",Gurgaon,2000,270
"Dhaba By Claridges",Gurgaon,2000,271
"7 Barrel Brew Pub",Gurgaon,2000,272
"Spiritual Bar & Lounge-DoubleTree by Hilton",Gurgaon,2000,273
"Club Mojo",Gurgaon,2000,274
"India on my Plate - Fortune Select Excalibur",Gurgaon,2000,275
"Manhattan Brewery & Bar Exchange",Gurgaon,2000,276
"Side Wok",Gurgaon,2000,277
"The Ark",Gurgaon,2000,278
"Citrus Cafe - Lemon Tree Premier",Gurgaon,2000,279
"China Club",Gurgaon,2000,280
"Pirates of Grill",Gurgaon,2000,281
"K2 Restaurant",Gurgaon,2000,282
"21 Gun Salute",Gurgaon,2000,283
"The Old School Brew House",Gurgaon,2000,284
Bernardo's,Gurgaon,2000,285
"Zaffran - The Bristol Hotel",Gurgaon,2000,286
"The Bar - Trident Gurgaon",Gurgaon,2000,287
"Citrus Cafe - Lemon Tree Hotel",Gurgaon,2000,288
"Olive Bistro",Hyderabad,2000,289
"The Creative Kitchen - Radisson Blu Hotel",Indore,2000,290
"Zolocrust - Hotel Clarks Amer",Jaipur,2000,291
"L 14 - Renaissance Lucknow Hotel",Lucknow,2000,292
"Kitchen At 95 - Hyatt Regency",Ludhiana,2000,293
"Lotus Garden","New Delhi",2000,294
"Etal The Lounge Bar","New Delhi",2000,295
Embassy,"New Delhi",2000,296
"Ardor 2.1","New Delhi",2000,297
"Caffe 9","New Delhi",2000,298
"Fuji Japanese Restaurant","New Delhi",2000,299
"Lobby Lounge - Crowne Plaza","New Delhi",2000,300
